title,summary,link,matched_keywords,tags,text_clean
Giorgio Armani’s Will Tells Heirs to Sell the Brand or Seek IPO,"The document says the late designer's heirs must sell a minority stake within 18 months, with a larger transfer to the same buyer to occur later, and give preference to LVMH, L'Oréal or EssilorLuxotti...",https://www.businessoffashion.com/articles/luxury/giorgio-armanis-will-tells-heirs-to-sell-the-brand-or-seek-ipo/,designer,['test'],giorgio armani tell heirs sell brand seek ipo document say late designer heir sell minority stake month large transfer buyer occur later preference lvmh essilorluxotti
EU Finalises Rules to Make Fashion Pay to Clean Up Textile Waste,"The European Parliament greenlit new rules that will require brands and retailers to cover the cost of collecting, recycling and sorting old clothes, footwear and other products.",https://www.businessoffashion.com/news/sustainability/eu-new-law-recycling-textile-waste-shein-temu/,"new, fashion","['test', 'cross_industry']",finalises rules fashion pay clean textile waste european parliament greenlit new rule require brand retailer cover cost collect recycle sort old clothe footwear product
L’Oréal Paris and Tira Beauty Bring Paris Fashion Week to India,The milestone collaboration spotlights emerging Indian talent and gives Reliance Retail’s Tira a high-profile platform in India’s fast-growing prestige beauty market.,https://www.businessoffashion.com/news/beauty/loreal-paris-and-tira-beauty-bring-paris-fashion-week-to-india/,fashion,['test'],paris tira beauty bring paris fashion week india milestone collaboration spotlight emerge indian talent give reliance retail tira high profile platform india fast grow prestige beauty market
Kering: Valentino Will Not Change Hands Before 2028,"In its first major move under new CEO Luca de Meo, the French group said on Wednesday that it will not fully acquire the Roman fashion house from Qatari fund Mayhoola until at least 2028.",https://www.businessoffashion.com/news/luxury/kering-valentino-will-not-change-hands-before-2028/,"new, fashion","['test', 'cross_industry']",kering valentino change hands major new ceo luca meo french group say wednesday fully acquire roman fashion house qatari fund mayhoola
CFDA Announces 2025 Fashion Awards Nominees,"Last year’s winner Rachel Scott is up for Womenswear Designer of the Year again, and The Row’s Ashley and Mary-Kate Olsen, who have won in the womenswear and accessories categories, are nominated for ...",https://www.businessoffashion.com/news/creative-class/cfda-names-2025-fashion-awards-nominees/,"fashion, designer",['test'],cfda announce fashion awards nominees year winner rachel scott womenswear designer year row ashley mary kate olsen win womenswear accessory category nominate
Klarna Shares Climb 30% in Trading Debut After $1.37 Billion IPO,"The company’s shares opened at $52 each in New York, above the IPO price of $40 apiece.",https://www.businessoffashion.com/articles/retail/klarna-shares-climb-30-in-trading-debut-after-137-billion-ipo/,new,['cross_industry'],klarna shares climb trading debut billion ipo company share open new york ipo price apiece
"At Ralph Lauren, Women — and Their Accessories — Take Centre Stage","At an intimate presentation in his Manhattan studio, Ralph Lauren unveiled a womenswear-focused collection, underscoring the category as a key driver of the brand’s growth strategy.",https://www.businessoffashion.com/reviews/fashion-week/ralph-lauren-spring-summer-2026-womenswear-show/,collection,['test'],ralph lauren women accessories centre stage intimate presentation manhattan studio ralph lauren unveil womenswear focus collection underscore category key driver brand growth strategy
Why Everyone Suddenly Wants to Sell You a Handbag,"As luxury brands stumble, new entrants ranging from Alo Yoga to Nili Lotan to Old Navy are launching their first bag collections. Is there room in the market for all of them?",https://www.businessoffashion.com/articles/retail/why-every-brand-is-launching-a-handbag/,"new, collection","['test', 'cross_industry']",suddenly want sell handbag luxury brand stumble new entrant range alo yoga nili lotan old navy launch bag collection room market
The Debrief | The Great Fashion Reset: Can Designer Debuts Revive Luxury?,"With luxury demand slowing and prices soaring, top houses are betting on fresh creative leadership to re-energise customers. The Debrief unpacks what runway debuts at brands like Gucci, Chanel and Dio...",https://www.businessoffashion.com/podcasts/luxury/the-debrief-the-great-fashion-reset-can-designer-debuts-revive-luxury/,"fashion, designer",['test'],debrief great fashion reset designer debuts revive luxury luxury demand slow price soar house bet fresh creative leadership energise customer debrief unpack runway debut brand like gucci chanel dio
Report: Amazon Developing Consumer AR Glasses to Rival Meta,"The e-commerce company is developing its own augmented reality glasses for consumers, The Information reported Wednesday.",https://www.businessoffashion.com/news/technology/report-amazon-developing-consumer-ar-glasses-to-rival-meta/,consumer,['cross_industry'],report amazon develop consumer glasses rival meta commerce company develop augmented reality glass consumer information report wednesday
Pamela Anderson’s Sonsie Skin Care Appoints New CEO,"Kailey Bradt, a chemical engineer who founded the waterless hair care label Susteau, assumes the position effective immediately, with an eye on innovative product development and refining its marketin...",https://www.businessoffashion.com/news/beauty/kailey-bradt-sonsie-ceo/,new,['cross_industry'],pamela anderson sonsie skin care appoints new ceo kailey bradt chemical engineer found waterless hair care label susteau assume position effective immediately eye innovative product development refine marketin
Peter Do Launches New Label,"PD-168, the designer’s latest venture, is a monochromatic, high-fashion take on the work uniform. Just don’t call it a diffusion line.",https://www.businessoffashion.com/articles/direct-to-consumer/peter-do-launches-pd-168/,"new, latest, fashion, designer","['test', 'cross_industry']",peter launches new label designer late venture monochromatic high fashion work uniform diffusion line
Nike’s Chief Sustainability Officer Departs,"Jaycee Pribulsky is leaving the company for a new opportunity after less than two years in the role. Her departure comes amid a choppy period of restructuring, when the sportswear giant’s sustainabili...",https://www.businessoffashion.com/articles/sustainability/nike-dei-climate-sustainability-jaycee-pribulsky-executive-sportwear-propublica-investigation/,"sustainability, new",['cross_industry'],nike chief sustainability officer departs jaycee pribulsky leave company new opportunity year role departure come amid choppy period restructuring sportswear giant sustainabili
"Introducing Face Value, a Beauty Newsletter From Priya Rao","The Business of Beauty’s executive editor is bringing back her weekly newsletter, and diving into how shifting ideals, new players and cultural movements are transforming the multi-billion-dollar beau...",https://www.businessoffashion.com/articles/beauty/face-value-newsletter/,new,['cross_industry'],introduce face value beauty newsletter priya rao business beauty executive editor bring weekly newsletter dive shifting ideal new player cultural movement transform multi billion dollar beau
Reformation Launches First Full Jewellery Line,"The LA-based brand is expanding into demi-fine jewellery, the latest step in its bid to capture a bigger share of its customers’ closets.",https://www.businessoffashion.com/articles/retail/reformation-launches-first-full-jewellery-line/,"big, latest",['cross_industry'],reformation launches jewellery line base brand expand demi fine jewellery late step bid capture big share customer closet
The Great Fashion Reset | The Future of Multi-Brand Retail,"As major luxury retailers from Saks to Ssense struggle, independent boutiques are making a comeback.",https://www.businessoffashion.com/articles/retail/the-future-of-multi-brand-retail/,"future, fashion","['test', 'cross_industry']",great fashion reset future multi brand retail major luxury retailer saks ssense struggle independent boutique make comeback
Inside Kering’s Changing of the Guard,"A $24 million welcome bonus was in focus as new CEO Luca de Meo took the reins from François-Henri Pinault. Improving performance will require tough choices to ‘reduce our costs, reduce our debt, and ...",https://www.businessoffashion.com/articles/luxury/inside-kerings-changing-of-the-guard/,new,['cross_industry'],inside kering change guard million welcome bonus focus new ceo luca meo take rein françois henri pinault improve performance require tough choice reduce cost reduce debt
"Ozempic Maker Novo Nordisk Slashes 9,000 Jobs",The Danish pharmaceutical giant announced it would shed 11.5 percent of its workforce to reignite growth and fend off competition in the GLP-1 weight loss drug wars.,https://www.businessoffashion.com/news/beauty/ozempic-maker-novo-nordisk-slashes-9000-jobs/,announced,['cross_industry'],ozempic maker novo nordisk slash job danish pharmaceutical giant announce shed percent workforce reignite growth fend competition weight loss drug war
"Zara Owner Inditex Reports Better Start to Autumn Sales, Boosting Shares",Investors took the news as an encouraging sign while the Spanish fast-fashion giant grapples with the impact of a weak dollar and US tariffs.,https://www.businessoffashion.com/news/retail/zara-owner-inditex-reports-better-start-to-autumn-sales-boosting-shares/,"new, fashion","['test', 'cross_industry']",zara owner inditex reports better start autumn sale boost share investors take news encouraging sign spanish fast fashion giant grapple impact weak dollar tariff
Primark’s Falling Sales Drag Down Shares of Owner AB Foods,"The British conglomerate’s share price slumped as it reported lower sales for the budget fashion chain, which was impacted by weak demand in Europe.",https://www.businessoffashion.com/news/retail/primarks-falling-sales-drag-down-shares-of-owner-ab-foods/,fashion,['test'],primark fall sales drag share owner foods british conglomerate share price slump report low sale budget fashion chain impact weak demand europe
Balenciaga Launches New Fine Fragrance Collection,"Inspired by an original perfume created in the 1940s and long discontinued, the 10-piece collection will be available to purchase on Sept. 10 from select Balenciaga boutiques.",https://www.businessoffashion.com/articles/beauty/balenciaga-fine-fragrance-launch/,"new, collection","['test', 'cross_industry']",balenciaga launches new fine fragrance collection inspire original perfume create long discontinue piece collection available purchase select balenciaga boutique
Preparing Students for Fashion’s Future at Istituto Europeo di Design,"IED Milano is evolving its postgraduate programmes to address the industry’s most pressing challenges, with a new summer talks series educating current and prospective students on fashion’s future. Bo...",https://www.businessoffashion.com/articles/workplace-talent/preparing-students-for-fashions-future-at-istituto-europeo-di-design/,"new, future, fashion","['test', 'cross_industry']",prepare student fashion future istituto europeo design ied milano evolve postgraduate programme address industry pressing challenge new summer talk series educate current prospective student fashion future
Byoma Acquired by Bansk Group,"The viral skincare brand, popular with Gen-Z for its affordable formulas and trending ingredients, is the latest to join Bansk’s growing beauty portfolio which also includes hair-care line Amika.",https://www.businessoffashion.com/news/beauty/byoma-acquired-by-bansk-group/,"trend, latest, trend","['test', 'cross_industry']",byoma acquire bansk group viral skincare brand popular gen affordable formula trend ingredient late join bansk grow beauty portfolio include hair care line amika
What’s In Store for Tom Ford Beauty?,"The Estée Lauder Companies-owned designer cosmetics label, hoping to reignite consumer interest and get back on the path to growth, is opening two new locations in Paris and New York.",https://www.businessoffashion.com/articles/beauty/whats-in-store-for-tom-ford-beauty/,"new, consumer, designer","['test', 'cross_industry']",store tom ford beauty estée lauder companies own designer cosmetic label hope reignite consumer interest path growth open new location paris new york
Worldview | Tokyo Fashion Week Toasts Two Decades of Trailblazers,"This week’s round-up of global markets fashion business news also features China’s rebuke of Dior, South African Fashion Week’s pause and runway spectacles in Dubai and Buenos Aires.",https://www.businessoffashion.com/articles/global-markets/worldview-tokyo-fashion-week-toasts-two-decades-of-trailblazers/,"new, fashion","['test', 'cross_industry']",worldview tokyo fashion week toast decade trailblazers week round global market fashion business news feature china rebuke dior south african fashion week pause runway spectacle dubai buenos aires
The Kicks You Wear: Fusing Football and Fashion With Kyle Smith,Kyle Smith chats with BoF about his first year on the job as the NFL’s first fashion editor and his ultimate vision for the league.,https://www.businessoffashion.com/briefings/sports/the-kicks-you-wear-fusing-football-and-fashion-kyle-smith/,fashion,['test'],kicks wear fuse football fashion kyle smith kyle smith chat bof year job nfl fashion editor ultimate vision league
China’s Luxury Resellers Get Physical,"The resale market is expanding from apps to buzzy offline markets as taboos around secondhand fashion fade, interest in sustainability grows and the slowing economy pushes more Chinese consumers into ...",https://www.businessoffashion.com/articles/global-markets/china-resale-market-secondhand-apps-consumers-bargain-reselling/,"sustainability, consumer, fashion","['test', 'cross_industry']",china luxury reseller physical resale market expand app buzzy offline market taboo secondhand fashion fade interest sustainability grow slow economy push chinese consumer
Short Sellers Pile Pressure on Kering’s Incoming CEO,"Short sellers have made their biggest bets in more than a decade against Kering, according to a Reuters analysis, putting further pressure Luca De Meo, who formally takes charge of the company today.",https://www.businessoffashion.com/news/luxury/short-sellers-pile-pressure-on-kerings-incoming-ceo/,big,['cross_industry'],short sellers pile pressure kering incoming ceo short seller big bet decade kering accord reuters analysis put pressure luca meo formally take charge company today
"Maison Francis Kurkdjian Launches $28,000 Limited Edition of Baccarat Rouge 540",The brand is the latest in LVMH’s portfolio to unveil an ultra-luxury fragrance.,https://www.businessoffashion.com/news/beauty/maison-francis-kurkdjian-launches-28000-limited-edition-of-baccarat-rouge-540/,latest,['cross_industry'],maison francis kurkdjian launches limited edition baccarat rouge brand late lvmh portfolio unveil ultra luxury fragrance
Stella McCartney Names Tom Mendenhall CEO,"Stella McCartney has named Tom Mendenhall its new chief executive, succeeding Amandine Ohayon, who is stepping down after nearly two years at the brand’s helm.",https://www.businessoffashion.com/news/luxury/stella-mccartney-names-tom-mendenhall-ceo/,new,['cross_industry'],stella mccartney names tom mendenhall ceo stella mccartney name tom mendenhall new chief executive succeed amandine ohayon step nearly year brand helm
Are US Fashion Brands at Risk of Growing Anti-American Backlash Over Trump Policies?,Any sign of an anti-Americanism trend would cause a headache for an industry benefiting from the popularity of Americana and preppy looks.,https://www.businessoffashion.com/articles/retail/are-us-fashion-brands-at-risk-of-growing-anti-american-backlash-over-trump-policies/,"trend, fashion, trend","['test', 'cross_industry']",fashion brands risk growing anti american backlash trump policies sign anti americanism trend cause headache industry benefit popularity americana preppy look
"Ralph Lauren Launches AI Styling Bot, ‘Ask Ralph’","The new shopping experience, launching in the brand’s app to US users, will not only recommend products but offer guidance on how to style them into Ralph Lauren-approved outfits.",https://www.businessoffashion.com/articles/technology/ralph-lauren-launches-ai-styling-bot-ask-ralph/,"new, style","['test', 'cross_industry']",ralph lauren launches styling bot ask ralph new shopping experience launch brand app user recommend product offer guidance style ralph lauren approve outfit
The Great Fashion Reset | Is Fashion Failing Emerging Designers?,"The industry is producing fewer emerging designer success stories, putting its pipeline of creative innovation at risk.",https://www.businessoffashion.com/articles/creative-class/the-great-fashion-reset-is-fashion-failing-emerging-designers/,"innovation, fashion, designer","['test', 'cross_industry']",great fashion reset fashion fail emerge designer industry produce few emerge designer success story put pipeline creative innovation risk
BoF LIVE | Decoding Dubai Fashion Consumer Insights,"In the next #BoFLIVE, market-leading executives and experts from Chalhoub Group, Dubai Design District and BoF Insights will dive into Dubai consumer behaviour and trends, and how global businesses ca...",https://www.businessoffashion.com/events/global-markets/bof-live-decoding-dubai-fashion-consumer-insights/,"next, trend, consumer, behaviour, fashion, trend","['test', 'cross_industry']",bof live decode dubai fashion consumer insights boflive market lead executive expert chalhoub group dubai design district bof insight dive dubai consumer behaviour trend global business
Everlane Launches Its First Celebrity-Fronted Campaign,"Icelandic singer Laufey stars in ‘Everland,’ a series of ads for the brand’s fall collection and the latest effort in its endeavour to develop a more recognisable brand identity.",https://www.businessoffashion.com/articles/direct-to-consumer/everlane-taps-laufey-for-its-first-celebrity-fronted-campaign/,"latest, collection","['test', 'cross_industry']",everlane launch celebrity front campaign icelandic singer laufey star everland series brand fall collection late effort endeavour develop recognisable brand identity
The 10th Edition of BoF VOICES: Latest Speakers Revealed,"Patrick Chalhoub, Clare Waight-Keller, The Gstaad Guy and Maria Cornejo are amongst the latest confirmed speakers for BoF’s annual gathering for big thinkers, now in its tenth year.",https://www.businessoffashion.com/events/news-analysis/bof-voices-2025-speakers/,"big, latest",['cross_industry'],edition bof voices late speaker reveal patrick chalhoub clare waight keller gstaad guy maria cornejo late confirm speaker bof annual gathering big thinker tenth year
Announcing John Brevard and Rovo,"Check out this week’s new partners and openings on BoF Careers, the global marketplace for fashion talent.",https://www.businessoffashion.com/articles/news-analysis/announcing-john-brevard-and-rovo/,"new, fashion","['test', 'cross_industry']",announce john brevard rovo check week new partner opening bof careers global marketplace fashion talent
"At the US Open, Beauty Wants to Play With the Pros","Marketing to players has become big business as the athletes themselves become bigger tastemakers, prompting salons and brands to offer their services to the cream of the crop.",https://www.businessoffashion.com/articles/beauty/us-open-beauty-brand-marketing-julien-farel-salon/,big,['cross_industry'],open beauty want play pros marketing player big business athlete big tastemaker prompt salon brand offer service cream crop
Swiss Watchmakers Sound Upbeat on US as Long as Stocks Last,A surge in exports in July should shield Swiss watch brands from the full impact of a new 39 percent U.S. tariff,https://www.businessoffashion.com/news/watches/swiss-watchmakers-sound-upbeat-on-us-as-long-as-stocks-last/,new,['cross_industry'],swiss watchmakers sound upbeat long stock surge export july shield swiss watch brand impact new percent tariff
Fast Fashion’s Quick Decline: Asos and Boohoo Have That Post-Covid Feeling,New regulatory demands and the rise of the secondhand marketplace have hobbled fast fashion’s heavyweights.,https://www.businessoffashion.com/articles/retail/fast-fashions-quick-decline-asos-and-boohoo-have-that-post-covid-feeling/,"new, fashion","['test', 'cross_industry']",fast fashion quick decline asos boohoo post covid feel new regulatory demand rise secondhand marketplace hobble fast fashion heavyweight
This Week: Success and Failure at New York Fashion Week,"The schedule is packed with brands that are riding the contemporary boom, but also emerging labels that face an uncertain future.",https://www.businessoffashion.com/briefings/fashion-week/this-week-success-and-failure-at-new-york-fashion-week/,"new, future, fashion","['test', 'cross_industry']",week success failure new york fashion week schedule pack brand ride contemporary boom emerge label face uncertain future
Armani Draws Thousands Who Pay Last Respects,"Fashion leaders, Hollywood actors and fans alike came to the company’s headquarters to say a final goodbye to Giorgio Armani who died on Thursday.",https://www.businessoffashion.com/articles/luxury/armani-draws-thousands-who-come-to-pay-last-respects/,fashion,['test'],armani draws thousands pay respects fashion leader hollywood actor fan alike come company headquarters final goodbye giorgio armani die thursday
How to Unlock Growth Through Underserved Marketing Channels,"Marketers are now expected to balance reach, relevance and performance across a growing array of platforms. BoF’s latest knowledge paper, in partnership with Ekimetrics, explores how to measure them e...",https://www.businessoffashion.com/articles/marketing-pr/how-to-unlock-growth-through-underserved-marketing-channels-knowledge-report/,latest,['cross_industry'],unlock growth underserved marketing channel marketers expect balance reach relevance performance grow array platform bof late knowledge paper partnership ekimetrics explore measure
Armani: What’s Next for the Sleeping Beauty Mega-Brand?,"Armani leaves a legacy of radical lightness, and an all-encompassing vision for Italian elegance. Remaining independent will require his successors to restore that iconoclastic, globally minded approa...",https://www.businessoffashion.com/articles/luxury/armani-whats-next-for-a-sleeping-beauty-mega-brand/,next,['cross_industry'],armani sleeping beauty mega brand armani leave legacy radical lightness encompass vision italian elegance remain independent require successor restore iconoclastic globally minded approa
Can Vogue Go Niche?,US Vogue’s new head of editorial content Chloe Malle wants to revamp the title to more squarely serve a core audience of fashion-lovers.,https://www.businessoffashion.com/briefings/media/chloe-malle-named-american-vogues-head-of-editorial-content/,"new, fashion","['test', 'cross_industry']",vogue niche vogue new head editorial content chloe malle want revamp title squarely serve core audience fashion lover
The BoF Podcast |  The Great Fashion Reset,BoF founder and CEO Imran Amed is joined by executive editor Brian Baskin to examine  why this fashion month could mark the beginning of a major turning point for the luxury industry.,https://www.businessoffashion.com/podcasts/luxury/the-bof-podcast-the-great-fashion-reset/,fashion,['test'],bof podcast great fashion reset bof founder ceo imran amed join executive editor brian baskin examine fashion month mark beginning major turning point luxury industry
Anna Wintour Makes Room for New Editorial Leader at US Vogue,Wintour has begun the search for a new ‘head of editorial content’ to steer day-to-day operations at the American edition of Vogue. The longtime editor-in-chief will continue to oversee the title as g...,https://www.businessoffashion.com/articles/media/anna-wintour-makes-room-for-new-editorial-leader-at-us-vogue/,new,['cross_industry'],anna wintour make room new editorial leader vogue wintour begin search new head editorial content steer day day operation american edition vogue longtime editor chief continue oversee title
Sonoma Brands Invests in British Beauty Distributor Discovered Brands,"On Wednesday, the American private equity firm announced its minority investment of around $15 million in the London-based distributor which works with buzzy brands such as Ouai, Glow Recipe and Briog...",https://www.businessoffashion.com/articles/beauty/sonoma-brands-discovered-brands/,announced,['cross_industry'],sonoma brands invests british beauty distributor discovered brands wednesday american private equity firm announce minority investment million london base distributor work buzzy brand ouai glow recipe briog
Refashioned: Luxury’s Trust Issues,"Big brands are taking steps to shore up consumer confidence in their high-end positioning, after a series of sweatshop scandals contributed to a sense of ‘luxury ick.’",https://www.businessoffashion.com/briefings/sustainability/refashioned-sustainability-brands-trust-shein-luxury/,"big, consumer, fashion","['test', 'cross_industry']",refashion luxury trust issue big brand take step shore consumer confidence high end positioning series sweatshop scandal contribute sense luxury ick
"Gap, Old Navy Turn to Industry Heavyweights for Beauty Lines","On Thursday, the American retail giant announced a new and improved offering for its mainstay brands which include Gap and Old Navy. The Business of Beauty can reveal that former Estée Lauder Companie...",https://www.businessoffashion.com/news/beauty/gap-old-navy-beauty-lines-john-demsey/,"new, announced",['cross_industry'],gap old navy turn industry heavyweight beauty lines thursday american retail giant announce new improved offering mainstay brand include gap old navy business beauty reveal estée lauder companie
Smuggling Is the Latest Temptation for Wealthy US Travellers,"High tariffs have long tempted affluent travellers to sneak luxury goods, from French gowns to Swiss watches, past customs. Trump’s tariffs could push them to try again.",https://www.businessoffashion.com/articles/luxury/smuggling-is-the-latest-temptation-for-wealthy-us-travellers/,latest,['cross_industry'],smuggling late temptation wealthy travellers high tariff long tempt affluent traveller sneak luxury good french gown swiss watch past custom trump tariff push try
Stealth Wealth Is Done. Meet ‘Rushed Wealth.’,Piece-y blowouts and one-coat nails are the latest beauty signal of the rich and privileged.,https://www.businessoffashion.com/articles/beauty/stealth-wealth-is-done-meet-rushed-wealth/,latest,['cross_industry'],stealth wealth meet rush wealth piece blowout coat nail late beauty signal rich privileged
"Ulta Beauty CEO Details Mexico Store Locations, Brands","The retailer announced that it will open locations in Guadalajara, León, Tijuana and Monterrey with over 300 brands. 35 of those names, including Half Magic, Snif and a host of K-beauty brands, will b...",https://www.businessoffashion.com/news/beauty/ulta-beauty-opens-in-mexico/,announced,['cross_industry'],ulta beauty ceo detail mexico store locations brands retailer announce open location guadalajara león tijuana monterrey brand name include half magic snif host beauty brand
Revlon’s Turnaround Plan Starts With Its Oldest Brand,"Two years after emerging from bankruptcy, one of America’s first beauty conglomerates, Revlon, is looking to the future starting, with the past. Beginning with Elizabeth Arden, the company hopes to re...",https://www.businessoffashion.com/articles/beauty/revlon-comeback-plan/,future,['cross_industry'],revlon turnaround plan start old brand year emerge bankruptcy america beauty conglomerate revlon look future starting past begin elizabeth arden company hope
"Armani Succession Plan, Always Mysterious, Is About to Get Tested",With Giorgio Armani’s death come questions about whether his chosen successors can avoid ‘rupture’ and maintain the Italian fashion empire’s independence.,https://www.businessoffashion.com/articles/luxury/giorgio-armani-succession-plan/,fashion,['test'],armani succession plan mysterious test giorgio armani death come question choose successor avoid rupture maintain italian fashion empire independence
Chloé’s Chief Sustainability Officer Departs,"Aude Vergne, who spent nearly decade at the luxury brand and oversaw the label’s B Corp certification has left the company.",https://www.businessoffashion.com/news/sustainability/chloe-richemont-sustainability-aude-vergne/,sustainability,['cross_industry'],chloé chief sustainability officer departs aude vergne spend nearly decade luxury brand oversee label corp certification leave company
India’s Higher Clothing Tax Threatens Setback for Global Fashion Brands,"India’s consumer tax reform is raising duties on apparel priced above $29, unsettling global and domestic fashion players who warn higher costs could affect demand.",https://www.businessoffashion.com/news/global-markets/indias-higher-clothing-tax-threatens-setback-for-global-fashion-brands/,"thing, consumer, fashion","['test', 'cross_industry']",india higher clothing tax threaten setback global fashion brands india consumer tax reform raise duty apparel price unsettling global domestic fashion player warn high cost affect demand
What Taylor Swift and Travis Kelce’s Engagement Means for Fashion,Donald Trump’s MAGA movement has become synonymous with traditional displays of American patriotism — but the engagement of America’s so-called “royal couple” serves as a reminder that there’s still a...,https://www.businessoffashion.com/articles/marketing-pr/what-taylor-swift-and-travis-kelces-engagement-means-for-fashion/,fashion,['test'],taylor swift travis kelce engagement means fashion donald trump maga movement synonymous traditional display american patriotism engagement america call royal couple serve reminder
Giorgio Armani: Lion in Winter,"Fashion’s most successful designer is finally in touch with his tender side after a career driven by perpetual dissatisfaction. In an exclusive interview, he looks back on his life and addresses the m...",https://www.businessoffashion.com/articles/luxury/giorgio-armani-launch-bof-500-class-of-2022-fashion-industry-designers/,"fashion, designer",['test'],giorgio armani lion winter fashion successful designer finally touch tender career drive perpetual dissatisfaction exclusive interview look life address
From Sex and the City to Summer I Turned Pretty: Why Paris Is Rarely Ever a Good Idea for Romantic Heroines,The Summer I Turned Pretty and Netflix’s The Wrong Paris are the latest in a long line of love stories that hinge on a man keeping a woman from her true joie de vivre.,https://www.vanityfair.com/hollywood/story/sex-and-the-city-summer-i-turned-pretty-the-wrong-paris,latest,['cross_industry'],sex city summer turn pretty paris rarely good idea romantic heroines summer turn pretty netflix wrong paris late long line love story hinge man keep woman true joie vivre
